trade_id	stock_symbol	trade_date	trade_type	quantity	price	brokerage_firm	trader_name
1	AMZN	10/26/2019	sell	871	901.18	Meevee	Marven Lerway
2	AMZN	11/8/2020	buy	517	194.42	Twitternation	Kassi Truin
3	AMZN	7/17/2018	sell	164	218.44	Cogidoo	Jehu MacHoste
4	AMZN	6/1/2013	buy	824	88.82	Leenti	Lawton Michallat
5	GOOGL	1/1/2020	sell	557	632.44	Kwilith	Maryanna Laflin
6	GOOGL	1/5/2012	sell	511	94.57	Miboo	Roxine Burkin
7	GOOGL	6/19/2016	buy	40	484.34	Trilia	Dominica Withrington
8	GOOGL	5/20/2013	sell	593	824.49	Yodo	Zachariah Tanswell
9	AAPL	9/7/2022	buy	890	816.34	Tagchat	Esra Kelsell
10	GOOGL	9/29/2019	buy	563	188.92	Mydeo	Eolande Luebbert
11	GOOGL	3/12/2010	sell	48	749.17	Eimbee	Dom Sturmey
12	AAPL	5/16/2016	buy	740	627.42	Twimbo	Noreen Burg
13	AAPL	9/18/2011	buy	384	194.61	Tagchat	Rockey Scranney
14	GOOGL	2/5/2017	buy	876	746.0	Devshare	Alonzo Kalkhoven
15	AMZN	9/24/2021	sell	856	748.08	Flipbug	Maurine Gigg
16	AAPL	3/7/2011	buy	119	322.68	Gabvine	Kalle Godby
17	AMZN	7/7/2016	buy	603	33.8	Leexo	Gay D'eye
18	AAPL	6/29/2018	buy	489	964.41	Quatz	Constantino Rickert
19	AAPL	11/15/2011	buy	72	934.39	Izio	Louis Flounders
20	GOOGL	8/30/2016	buy	359	817.0	Twitterbridge	Stacy Lintot
21	GOOGL	7/17/2019	sell	446	857.98	Twitterwire	Charlotte Dare
22	AAPL	4/30/2016	buy	574	92.99	Innojam	Sascha Meeson
23	AMZN	10/18/2021	buy	716	213.8	Dabjam	Wendall McCuaig
24	AAPL	2/15/2021	sell	182	166.48	Viva	Berkeley Bartolomeu
25	GOOGL	3/18/2010	sell	165	923.74	Abatz	Tiertza Osorio
26	GOOGL	8/18/2012	buy	340	176.26	Kwilith	Nero Theze
27	AMZN	10/18/2021	buy	435	29.79	Fadeo	Antoni Coe
28	AMZN	9/12/2011	sell	412	749.26	Thoughtstorm	Thibaut Gyles
29	AMZN	9/7/2018	buy	198	459.03	Yozio	Krystle Stode
30	AAPL	6/13/2019	buy	88	656.13	Tagtune	Dylan Aimer
31	GOOGL	10/5/2020	buy	400	782.72	Jayo	Belia Bigland
32	GOOGL	12/6/2013	buy	428	174.92	Skibox	Hammad Joron
33	GOOGL	9/21/2016	buy	355	545.96	Yadel	Chaddy Conlaund
34	GOOGL	11/10/2012	buy	152	772.32	Abatz	Bradney Kopman
35	AMZN	11/19/2015	buy	439	567.17	Browsetype	Ephrayim Schlagman
36	AAPL	3/14/2020	buy	946	477.41	Mydeo	Tad Ticic
37	GOOGL	6/28/2015	buy	933	628.62	Buzzster	Lesli Hanna
38	GOOGL	12/8/2017	buy	152	125.35	Jayo	Zora Moine
39	AMZN	6/23/2021	sell	943	647.84	Oyoba	Cyril Wight
40	AAPL	9/21/2018	buy	438	513.5	Skipfire	Tamra Goodredge
41	GOOGL	4/27/2015	sell	696	351.08	Eamia	Cole Godlonton
42	AMZN	12/10/2019	sell	615	902.59	Zoomzone	Talia Vince
43	AMZN	8/2/2014	sell	683	11.66	Devcast	Danila Hoyte
44	GOOGL	2/23/2018	sell	253	697.45	Dynabox	Lucretia Wolfe
45	AAPL	2/25/2014	sell	823	416.11	Skiptube	Maressa Iacofo
46	GOOGL	9/29/2022	buy	246	665.96	Buzzbean	Arlyn Canland
47	AAPL	7/4/2019	buy	867	304.04	Meembee	Meagan Goulborn
48	AMZN	2/12/2022	buy	621	373.79	Demivee	Cordula Langtry
49	AAPL	11/1/2020	buy	1000	545.09	Photofeed	Alis Millan
50	AAPL	1/28/2014	sell	793	342.69	Yakidoo	Ludwig Woolliams
51	GOOGL	1/23/2014	sell	361	452.92	Yodo	Di Yaus
52	AAPL	11/24/2016	sell	331	577.61	Mynte	Myrle Bielefeld
53	AMZN	7/4/2013	buy	664	816.14	Kwimbee	Parrnell Gundry
54	GOOGL	9/12/2011	sell	234	698.56	Yakijo	Jareb Clifton
55	AAPL	3/7/2022	sell	990	567.05	Lajo	Esther Trathan
56	GOOGL	5/5/2018	buy	137	81.44	Npath	Monah Fairham
57	AAPL	8/10/2016	sell	727	42.01	Divape	Kalinda Coldham
58	AAPL	5/3/2016	sell	739	905.76	Thoughtblab	Isacco Woodrup
59	AAPL	7/6/2018	buy	623	406.25	Wordify	Bethena Aldam
60	AAPL	8/31/2019	buy	727	495.9	Plajo	Jorey Fidelus
61	AMZN	4/11/2018	sell	999	351.29	Youspan	Alyse Whitington
62	AMZN	6/16/2019	buy	436	351.37	Trupe	Oates Congram
63	GOOGL	11/28/2019	buy	215	409.68	Divavu	Humphrey Dulanty
64	AAPL	9/24/2010	sell	358	840.2	Skipfire	Sarine Giacobazzi
65	AMZN	10/28/2013	sell	401	346.26	Rhyzio	Bink Eymer
66	AMZN	9/9/2011	buy	686	419.64	Youfeed	Giffard Yerrill
67	GOOGL	9/20/2010	sell	303	414.59	Realbuzz	Irita Marmion
68	AMZN	2/12/2017	sell	628	544.23	Livefish	Corbin Gatteridge
69	GOOGL	4/13/2014	sell	873	526.32	Janyx	Brittni Donohue
70	AMZN	3/27/2014	sell	899	437.47	Buzzster	Emilia Ruggs
71	GOOGL	9/14/2011	sell	599	948.88	Thoughtstorm	Jameson Simone
72	AAPL	9/17/2020	buy	389	572.9	Avavee	Camala Aubert
73	GOOGL	8/2/2021	sell	657	976.4	Twiyo	Ellswerth Naisbitt
74	AAPL	2/9/2016	sell	658	597.07	Babblestorm	Harmonie Oman
75	AAPL	7/17/2021	buy	147	905.8	Devify	Creigh Stoyles
76	GOOGL	8/18/2016	sell	864	534.44	Wikibox	Linnie Duff
77	AMZN	11/23/2014	sell	624	860.66	Skiba	Sayres Jerrold
78	GOOGL	7/7/2022	buy	311	864.2	Eazzy	Gabbey Yakunkin
79	AAPL	3/23/2016	buy	134	663.71	Eidel	Ettore Brede
80	AAPL	3/31/2019	sell	386	600.25	Yozio	Rafael O' Sullivan
81	AMZN	7/24/2010	sell	761	551.79	Yodel	Diahann Bittlestone
82	GOOGL	5/3/2019	sell	152	657.74	Skibox	Candi Topley
83	AAPL	7/27/2011	sell	828	640.84	Voonder	Angeli Hassan
84	AMZN	12/25/2021	sell	96	680.75	Jaxbean	Alair Uridge
85	GOOGL	6/28/2016	buy	702	2.94	Yodo	Katrina Barnby
86	AAPL	10/22/2012	sell	829	13.76	Kaymbo	Adah Minchenton
87	GOOGL	2/14/2015	buy	93	365.94	Photobean	Luigi Garnett
88	AMZN	12/22/2022	buy	801	44.49	Lazzy	Glynis Heamus
89	AMZN	4/26/2014	sell	427	755.41	Feedfish	Goran Tiddy
90	AMZN	9/2/2010	sell	195	71.52	Skipstorm	Erie Slowly
91	AAPL	11/5/2015	buy	347	209.6	Dabvine	Euphemia Norway
92	AMZN	7/4/2013	sell	870	770.25	Buzzdog	Elsey Docksey
93	GOOGL	12/10/2021	sell	978	642.64	Riffpath	Glori Parsonson
94	AMZN	1/7/2021	sell	288	475.36	Vidoo	Zabrina De Zamudio
95	AMZN	4/21/2018	sell	542	993.21	Rhyzio	Corrie Shapcote
96	AMZN	11/29/2020	buy	430	756.53	Twitterlist	Glenden Roswarne
